strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
VU,stat,110501,-0.683473,393.5,292,0.430395266627469,0.4753095365285366,0.9412563256715453,0.3333333333333333,Not significant
VU,stat,111501,-0.682995,426.5,307,0.4743070859481108,0.4734582527200156,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,112501,-0.682516,399,270.5,0.5607601523955306,0.40948112019103844,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,113501,-0.682038,313.5,235,0.4158046862370393,0.5935792517356662,0.9412563256715453,1,Not significant
VU,stat,114501,-0.68156,334.5,278,0.2669213279179536,0.7135934596209111,0.9412563256715453,1,Not significant
VU,stat,115501,-0.681082,365,283,0.36709441093549733,0.5591322611604905,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,116501,-0.680603,328,290,0.17764291460314927,0.7555471469216831,0.9412563256715453,1,Not significant
VU,stat,117501,-0.680125,320,266,0.2666456593861727,0.6555804552264657,0.9412563256715453,1,Not significant
VU,stat,118501,-0.679647,333.5,289,0.2066172686839062,0.6777128921880599,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,119501,-0.679168,525,417.5,0.3305412251920703,0.6025502337149928,0.9412563256715453,1,Not significant
VU,stat,120501,-0.67869,464.5,356.5,0.3817765199387648,0.5237689388543849,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,121501,-0.678212,442.5,388,0.18962080278323204,0.7801593153877776,0.943394241597177,1,Not significant
VU,stat,122501,-0.677734,445,342.5,0.377701348005871,0.6055360938600438,0.9412563256715453,1,Not significant
VU,stat,123501,-0.677255,355,279,0.34755390256285673,0.6155794563199404,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,124501,-0.676777,344,279,0.30214344287291045,0.5702150062043765,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,125501,-0.676299,362,278,0.3809048143596978,0.5206706496770386,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,126501,-0.67582,388,330.5,0.23140638067943592,0.6743774452467175,0.9412563256715453,1,Not significant
VU,stat,127501,-0.675342,512.5,366,0.485708356108766,0.5072657997556684,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,128501,-0.674864,449,316,0.506790886564044,0.45403478159870847,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,129501,-0.674386,417.5,335.5,0.315463431161231,0.6490922140253582,0.9412563256715453,1,Not significant
VU,stat,130501,-0.673907,370.5,348,0.0903862364571056,0.894275613838791,0.9698250344800173,1,Not significant
VU,stat,131501,-0.67342900000000006,430,327,0.3950460240913778,0.5408659838948828,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,132501,-0.672951,417.5,332.5,0.32842185697286275,0.6132718270121225,0.9412563256715453,1,Not significant
VU,stat,133501,-0.672472,342,269.5,0.3437110521333923,0.6548181380363114,0.9412563256715453,1,Not significant
VU,stat,134501,-0.671994,346,284.5,0.28234338533014286,0.6693731885413773,0.9412563256715453,1,Not significant
VU,stat,135501,-0.671516,531,448.5,0.24360387588489252,0.7159962633328645,0.9412563256715453,1,Not significant
VU,stat,136501,-0.671038,384,310,0.3088380954469187,0.6523974133751322,0.9412563256715453,1,Not significant
VU,stat,137501,-0.670559,367,283,0.3749780100113306,0.5412492992483424,0.9412563256715453,1,Not significant
VU,stat,138501,-0.670081,379.5,272,0.48049323416512696,0.49182215225561643,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,139501,-0.669603,356,298.5,0.2541463097015927,0.7062715892827293,0.9412563256715453,1,Not significant
VU,stat,140501,-0.669124,321.5,290.5,0.14628057392341837,0.7748201440315614,0.942639234963586,1,Not significant
VU,stat,141501,-0.668646,351,309.5,0.18153162109029602,0.7573727549917578,0.9412563256715453,1,Not significant
VU,stat,142501,-0.668168,357,292,0.28995570514908237,0.5538093691242683,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,143501,-0.66769,362.5,294.5,0.29971336107183605,0.5472471474459235,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,144501,-0.667211,391,342,0.1931722824214545,0.7457731232931304,0.9412563256715453,1,Not significant
VU,stat,145501,-0.666733,440,343,0.3592949473518473,0.606636750986433,0.9412563256715453,1,Not significant
VU,stat,146501,-0.666255,355,274.5,0.37101287538684574,0.5268779496080674,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,147501,-0.665776,400.5,311.5,0.36257007938470837,0.5688079639719463,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,148501,-0.665298,323,257.5,0.32696173262334416,0.5686937224247159,0.9412563256715453,1,Not significant
VU,stat,149501,-0.66482,326,248.5,0.3916261126687913,0.4878146888487994,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,150501,-0.664342,319,247.5,0.3661278987978975,0.5488787133567654,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,151501,-0.663863,334,283,0.23904604964216983,0.6700049468803062,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,152501,-0.663385,345,276.5,0.31931688143082426,0.651692678722026,0.9412563256715453,1,Not significant
VU,stat,153501,-0.662907,461,365,0.33687028666195845,0.6001913400673045,0.9412563256715453,1,Not significant
