strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
Lac-4,stat,891501,-0.261047,380.5,383,-0.009447938421411613,0.9023214252774439,0.9913046107799296,1,Not significant
Lac-4,stat,892501,-0.260219,407.5,439,-0.10742088041691826,0.6209503006073194,0.9794297259474823,1,Not significant
Lac-4,stat,893501,-0.25939,371,436.5,-0.23456246700863678,0.17878932876900297,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,894501,-0.258561,408.5,471.5,-0.2069216925294131,0.14302814922126408,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,895501,-0.257733,395.5,448.5,-0.18143029044646938,0.24890487447863563,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,896501,-0.256904,332,372.5,-0.16605718400259922,0.32825395883694,0.9756484734232224,0.6666666666666666,Not significant
Lac-4,stat,897501,-0.256075,413,382,0.11256914338369668,0.7384582752835032,0.9899500437384304,1,Not significant
Lac-4,stat,898501,-0.255246,467.5,329,0.5068787810397576,0.16023975669937718,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,899501,-0.254418,441,358.5,0.29880553685561584,0.09396010455100645,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,900501,-0.253589,362,343.5,0.07567959826510516,0.7228734247531651,0.9856623842997366,1,Not significant
Lac-4,stat,901501,-0.25276,390,439,-0.1707468157857475,0.5474042587676347,0.9788484046992368,1,Not significant
Lac-4,stat,902501,-0.251932,385,359.5,0.09886667514296589,0.5797598013536366,0.9788484046992368,0.6666666666666667,Not significant
Lac-4,stat,903501,-0.251103,365.5,376,-0.040861255725200094,0.8903032960272712,0.9913046107799296,1,Not significant
Lac-4,stat,904501,-0.250274,331,334.5,-0.015174993834243207,0.9486176082822259,0.9913046107799296,1,Not significant
Lac-4,stat,905501,-0.249445,416,404.5,0.04044382571111458,0.8320520900024506,0.9913046107799296,1,Not significant
Lac-4,stat,906501,-0.248617,340,377,-0.14902977713096252,0.6568311121141117,0.9797836373613166,0.6666666666666666,Not significant
Lac-4,stat,907501,-0.247788,309.5,345.5,-0.15874630117399383,0.400247586311671,0.9756484734232224,0.6666666666666666,Not significant
Lac-4,stat,908501,-0.246959,326.5,367.5,-0.1706612581772959,0.5572406275591428,0.9788484046992368,0.6666666666666666,Not significant
Lac-4,stat,909501,-0.24613,363.5,370.5,-0.027518178386239416,0.9297394843584706,0.9913046107799296,1,Not significant
Lac-4,stat,910501,-0.245302,404.5,423.5,-0.06622226690222109,0.8173828931502747,0.9913046107799296,1,Not significant
Lac-4,stat,911501,-0.244473,394.5,386,0.03142445274537822,0.8331966450328586,0.9913046107799296,1,Not significant
Lac-4,stat,912501,-0.243644,382,368,0.053866871978735895,0.4467534322093284,0.9756484734232224,0.6666666666666667,Not significant
Lac-4,stat,913501,-0.242816,301,348.5,-0.21139516910872114,0.24691435722615965,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,914501,-0.241987,318,353.5,-0.15268344952504354,0.23552136860349474,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,915501,-0.241158,357.5,385,-0.1069152039165119,0.6796424112170525,0.9805138400119019,0.6666666666666666,Not significant
Lac-4,stat,916501,-0.240329,401.5,412,-0.03724434966590396,0.8509438513448839,0.9913046107799296,1,Not significant
Lac-4,stat,917501,-0.239501,341.5,366,-0.09995806999395203,0.5317126353416752,0.9788484046992368,0.6666666666666666,Not significant
Lac-4,stat,918501,-0.238672,321.5,367.5,-0.1929255123957794,0.5059980614581209,0.9756484734232224,0.6666666666666666,Not significant
Lac-4,stat,919501,-0.237843,368,440.5,-0.2594362528634008,0.29295686007733196,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,920501,-0.237015,372,377.5,-0.021174023104409877,0.9289058186656969,0.9913046107799296,1,Not significant
Lac-4,stat,921501,-0.236186,408,463.5,-0.1840001866540352,0.36196230034216953,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,922501,-0.235357,372.5,411.5,-0.14365200507210169,0.37127692706327237,0.9756484734232224,0.41421617824252505,Not significant
Lac-4,stat,923501,-0.234528,321.5,332,-0.04636450401897736,0.7901302875119487,0.9903099068723386,0.6666666666666666,Not significant
Lac-4,stat,924501,-0.2337,409.5,453.5,-0.14723909888751377,0.4714702003497917,0.9756484734232224,0.6666666666666666,Not significant
Lac-4,stat,925501,-0.232871,516,554,-0.10251491062593417,0.5079181013003055,0.9763257721376724,0.6666666666666666,Not significant
