strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
AB30,stat,3174501,-0.016739,271,265,0.032300491903310025,0.7724977726864984,0.8471673448439485,1,Not significant
AB30,stat,3175501,-0.016429,290.5,289.5,0.0049748154152921735,0.9806016690843223,0.9876661942392407,1,Not significant
AB30,stat,3176501,-0.016119,350,331.5,0.07834605171974109,0.4535917586220245,0.6041399198493512,0.6666666666666667,Not significant
AB30,stat,3177501,-0.015809,328,298.5,0.1359648833532786,0.4586991732036607,0.6073945055498521,0.3333333333333333,Not significant
AB30,stat,3178501,-0.015499,269,266.5,0.013470639797448352,0.8119073558875676,0.8746722546399995,1,Not significant
AB30,stat,3179501,-0.015189,273.5,297.5,-0.12134883540274938,0.4536464616825878,0.6041399198493512,0.6666666666666666,Not significant
AB30,stat,3180501,-0.014879,296,303.5,-0.036099340626732326,0.7662680016317175,0.8416131573927682,1,Not significant
AB30,stat,3181501,-0.014569,325,334.5,-0.041566492725644125,0.7613973139435121,0.838754391186679,0.6666666666666666,Not significant
AB30,stat,3182501,-0.014259,286,309,-0.11159169112598515,0.33333075363615594,0.5005128102726223,0.3333333333333333,Not significant
AB30,stat,3183501,-0.013949,285.5,296,-0.052106430266107076,0.4841868896240076,0.6290365646374246,0.41421617824252505,Not significant
AB30,stat,3184501,-0.013639,301.5,287,0.07110726522439688,0.6650557195681566,0.7717139193061286,1,Not significant
AB30,stat,3185501,-0.013329,282.5,288,-0.02781794413976229,0.7080311051283239,0.7997411544503924,1,Not significant
AB30,stat,3186501,-0.013019,301,302,-0.004785062565376885,0.9299855403257579,0.9560145473842113,1,Not significant
AB30,stat,3187501,-0.012709,348,389.5,-0.16253602221294083,0.4248793579476989,0.5809056873145905,0.3333333333333333,Not significant
AB30,stat,3188501,-0.012399,338,312.5,0.11316705673273479,0.659953202274635,0.7674368603859051,1,Not significant
AB30,stat,3189501,-0.012089,324,320.5,0.015669456265883668,0.9215159241551206,0.9513697034988786,1,Not significant
AB30,stat,3190501,-0.011779,311,307.5,0.016328169904000437,0.8772302183884417,0.9193575684459472,1,Not significant
AB30,stat,3191501,-0.011469,362.5,335.5,0.11166822870211329,0.32119611373503465,0.49121471972406877,0.3333333333333333,Not significant
AB30,stat,3192501,-0.011159,345,312,0.14505033280328314,0.2729256067327218,0.45176855782943937,0.3333333333333333,Not significant
AB30,stat,3193501,-0.010849,321.5,272.5,0.2385625076636585,0.07336628841564928,0.3347264257784854,0.3333333333333333,Not significant
AB30,stat,3194501,-0.010539,336.5,302,0.15605795528523828,0.39002135926497244,0.552328073925697,0.41421617824252505,Not significant
AB30,stat,3195501,-0.010229,335.5,325.5,0.043655223034547955,0.7899306803745421,0.8592284761234922,0.6666666666666667,Not significant
AB30,stat,3196501,-0.009919,368.5,303,0.28234682562211866,0.0860996493687742,0.3352996624548852,0.3333333333333333,Not significant
AB30,stat,3197501,-0.009609,297,284.5,0.0620342784941839,0.7516639519247027,0.8310919719638579,0.6666666666666667,Not significant
AB30,stat,3198501,-0.009299,347.5,328,0.08331716299278623,0.577749209737638,0.7051436426367004,1,Not significant
